Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-VPC7","eks-blueprint/eks-blueprint-vpc/Resource","Non-Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-KMS5","eks-blueprint/eks-blueprint-kms-key/Resource","Non-Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint-AccessRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint-AccessRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/KubectlHandlerRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/Role/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","eks-blueprint/eks-blueprint/ControlPlaneSecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","eks-blueprint/eks-blueprint/ControlPlaneSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","eks-blueprint/eks-blueprint/Resource/CreationRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/Resource/CreationRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","eks-blueprint/eks-blueprint/Resource/CreationRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EKS1","eks-blueprint/eks-blueprint/Resource/Resource/Default","Non-Compliant","N/A","Error","The EKS cluster's Kubernetes API server endpoint has public access enabled."
